trade_id,trade_date,settle_date,asset_class,counterparty,side,quantity,price,notional,status,fail_reason,days_to_resolve,actual_settle_date,fail_status,days_late,aging_bucket,estimated_cost
T102770,2026-06-09,2026-06-10,Equity,Thornfield Global Clearing,Buy,13564,174.97,2373246.37,Settled On Time,,,,N/A,0.0,,0.0
T102771,2026-04-30,2026-05-04,Corporate Bond,Journeyman Capital,Buy,1400045,101.57,142205613.01,Settled On Time,,,,N/A,0.0,,0.0
T102772,2026-02-27,2026-03-02,Government Bond,Bellwether Capital Partners,Buy,896646,95.65,85762556.44,Settled On Time,,,,N/A,0.0,,0.0
T102773,2026-04-03,2026-04-06,Equity,Meridian Capital Partners,Buy,8442,11.72,98907.55,Settled On Time,,,,N/A,0.0,,0.0
T102774,2026-06-17,2026-06-19,Corporate Bond,Sable Point Capital,Buy,1732579,98.36,170424821.14,Settled On Time,,,,N/A,0.0,,0.0
T102775,2026-05-05,2026-05-06,Equity,Harborview Asset Services,Sell,8253,49.03,404607.76,Settled On Time,,,,N/A,0.0,,0.0
T102776,2026-03-19,2026-03-23,Corporate Bond,Caldera Prime Brokerage,Buy,1793881,92.22,165432648.92,Settled On Time,,,,N/A,0.0,,0.0
T102777,2026-06-24,2026-06-25,ETF,Oakferry Markets,Buy,6101,54.62,333257.65,Settled On Time,,,,N/A,0.0,,0.0
T102778,2026-06-17,2026-06-18,Equity,Meridian Capital Partners,Sell,2116,51.79,109581.9,Settled On Time,,,,N/A,0.0,,0.0
T102779,2026-05-26,2026-05-27,Equity,Dunmore & Co.,Sell,13906,50.39,700737.8,Settled On Time,,,,N/A,0.0,,0.0
T102780,2026-08-14,2026-08-17,Equity,Ashford Securities,Buy,18454,18.43,340165.71,Settled On Time,,,,N/A,0.0,,0.0
T102781,2026-07-28,2026-07-29,Equity,Kestrel Institutional Brokers,Buy,17533,23.82,417612.24,Settled On Time,,,,N/A,0.0,,0.0
T102782,2026-03-05,2026-03-09,Corporate Bond,Caldera Prime Brokerage,Buy,1556698,101.41,157860426.25,Settled On Time,,,,N/A,0.0,,0.0
T102783,2026-08-07,2026-08-10,Equity,Dunmore & Co.,Buy,12985,106.76,1386292.37,Settled On Time,,,,N/A,0.0,,0.0
T102784,2026-03-06,2026-03-09,Equity,Greystone Trading LLC,Sell,14585,143.99,2100082.15,Settled On Time,,,,N/A,0.0,,0.0
T102785,2026-05-25,2026-05-27,Corporate Bond,Journeyman Capital,Buy,1416922,96.71,137033634.22,Settled On Time,,,,N/A,0.0,,0.0
T102786,2026-08-07,2026-08-11,Corporate Bond,Quorum Custody Bank,Buy,991345,100.08,99213383.78,Settled On Time,,,,N/A,0.0,,0.0
T102787,2026-08-21,2026-08-24,ETF,Ironwood Clearing,Sell,18960,92.99,1763114.58,Settled On Time,,,,N/A,0.0,,0.0
T102788,2026-03-02,2026-03-03,Government Bond,Quorum Custody Bank,Sell,1586325,99.28,157493117.95,Settled On Time,,,,N/A,0.0,,0.0
T102789,2026-03-11,2026-03-12,Equity,Meridian Capital Partners,Buy,17858,40.77,728024.33,Settled On Time,,,,N/A,0.0,,0.0
T102790,2026-04-10,2026-04-14,Corporate Bond,Harborview Asset Services,Sell,200875,96.11,19306631.63,Settled On Time,,,,N/A,0.0,,0.0
T102791,2026-04-16,2026-04-17,Equity,Kestrel Institutional Brokers,Sell,4458,28.46,126879.22,Settled On Time,,,,N/A,0.0,,0.0
T102792,2026-04-17,2026-04-21,Corporate Bond,Caldera Prime Brokerage,Buy,987532,99.54,98303078.03,Settled On Time,,,,N/A,0.0,,0.0
T102793,2026-05-12,2026-05-13,Government Bond,Thornfield Global Clearing,Buy,1773479,99.13,175809084.57,Settled On Time,,,,N/A,0.0,,0.0
T102794,2026-04-24,2026-04-28,Corporate Bond,Greystone Trading LLC,Sell,1570854,90.89,142772983.57,Settled On Time,,,,N/A,0.0,,0.0
T102795,2026-06-11,2026-06-12,ETF,Sable Point Capital,Sell,3526,155.21,547277.77,Settled On Time,,,,N/A,0.0,,0.0
T102796,2026-07-30,2026-08-03,Corporate Bond,Meridian Capital Partners,Sell,941079,99.4,93542256.91,Settled On Time,,,,N/A,0.0,,0.0
T102797,2026-06-04,2026-06-05,Equity,Fenwick Custody Solutions,Buy,15377,15.65,240692.25,Settled On Time,,,,N/A,0.0,,0.0
T102798,2026-04-27,2026-04-29,Corporate Bond,Journeyman Capital,Sell,1855884,96.87,179787822.57,Settled On Time,,,,N/A,0.0,,0.0
T102799,2026-06-09,2026-06-11,Corporate Bond,Caldera Prime Brokerage,Buy,1084742,95.7,103806331.99,Settled On Time,,,,N/A,0.0,,0.0
T102800,2026-06-18,2026-06-19,Government Bond,Meridian Capital Partners,Buy,674848,95.64,64543329.35,Settled On Time,,,,N/A,0.0,,0.0
T102801,2026-08-06,2026-08-07,ETF,Bellwether Capital Partners,Sell,429,17.67,7579.47,Settled On Time,,,,N/A,0.0,,0.0
T102802,2026-08-17,2026-08-18,Equity,Meridian Capital Partners,Sell,2161,105.47,227914.35,Settled On Time,,,,N/A,0.0,,0.0
T102803,2026-04-16,2026-04-17,ETF,Dunmore & Co.,Sell,2313,147.91,342108.62,Settled On Time,,,,N/A,0.0,,0.0
T102804,2026-08-11,2026-08-12,Equity,Caldera Prime Brokerage,Sell,15502,109.92,1703979.72,Settled On Time,,,,N/A,0.0,,0.0
T102805,2026-07-23,2026-07-24,Equity,Everline Global Markets,Sell,4457,7.63,34019.07,Settled On Time,,,,N/A,0.0,,0.0
T102806,2026-03-20,2026-03-23,Equity,Bellwether Capital Partners,Buy,11838,10.01,118460.13,Settled On Time,,,,N/A,0.0,,0.0
T102807,2026-06-05,2026-06-09,Corporate Bond,Ridgeline Brokerage,Sell,24007,101.79,2443733.6,Settled On Time,,,,N/A,0.0,,0.0
T102808,2026-03-25,2026-03-26,Equity,Sable Point Capital,Sell,142,60.09,8532.17,Settled On Time,,,,N/A,0.0,,0.0
T102809,2026-05-26,2026-05-27,Equity,Sable Point Capital,Buy,223,65.78,14669.1,Settled On Time,,,,N/A,0.0,,0.0
T102810,2026-03-05,2026-03-06,Equity,Oakferry Markets,Buy,13017,39.09,508836.5,Settled On Time,,,,N/A,0.0,,0.0
T102811,2026-04-21,2026-04-22,Government Bond,Everline Global Markets,Sell,930483,98.58,91722542.85,Settled On Time,,,,N/A,0.0,,0.0
T102812,2026-06-11,2026-06-15,Corporate Bond,Palisade Trading Group,Buy,1717750,99.14,170304565.02,Settled On Time,,,,N/A,0.0,,0.0
T102813,2026-04-22,2026-04-23,Equity,Palisade Trading Group,Buy,17664,53.35,942432.53,Settled On Time,,,,N/A,0.0,,0.0
T102814,2026-02-27,2026-03-02,Equity,Everline Global Markets,Sell,2294,45.92,105343.84,Settled On Time,,,,N/A,0.0,,0.0
T102815,2026-05-07,2026-05-08,ETF,Quorum Custody Bank,Sell,13820,62.16,859069.75,Settled On Time,,,,N/A,0.0,,0.0
T102816,2026-06-03,2026-06-04,Equity,Thornfield Global Clearing,Sell,16635,55.62,925198.76,Settled On Time,,,,N/A,0.0,,0.0
T102817,2026-07-14,2026-07-15,ETF,Harborview Asset Services,Sell,15748,35.35,556691.01,Settled On Time,,,,N/A,0.0,,0.0
T102818,2026-03-23,2026-03-24,Equity,Lindenmoor Securities,Buy,15126,29.06,439561.87,Settled On Time,,,,N/A,0.0,,0.0
T102819,2026-05-22,2026-05-25,Government Bond,Ridgeline Brokerage,Buy,1475261,98.05,144643737.91,Settled On Time,,,,N/A,0.0,,0.0
T102820,2026-04-02,2026-04-03,Equity,Fenwick Custody Solutions,Sell,14567,54.13,788539.58,Failed,DK - Trade/Documentation Discrepancy,2.0,2026-04-05,Resolved,2.0,1-2 days,232.18
T102821,2026-03-25,2026-03-27,Corporate Bond,Thornfield Global Clearing,Sell,893229,98.77,88222147.34,Settled On Time,,,,N/A,0.0,,0.0
T102822,2026-03-19,2026-03-20,Equity,Greystone Trading LLC,Buy,5525,34.05,188147.54,Settled On Time,,,,N/A,0.0,,0.0
T102823,2026-07-14,2026-07-15,Government Bond,Thornfield Global Clearing,Sell,1359031,97.74,132828940.17,Settled On Time,,,,N/A,0.0,,0.0
T102824,2026-08-11,2026-08-12,Government Bond,Everline Global Markets,Buy,707863,98.22,69523529.78,Settled On Time,,,,N/A,0.0,,0.0
T102825,2026-06-25,2026-06-29,Corporate Bond,Oakferry Markets,Buy,156803,97.33,15261178.22,Settled On Time,,,,N/A,0.0,,0.0
T102826,2026-05-05,2026-05-06,ETF,Kestrel Institutional Brokers,Sell,10231,87.93,899636.9,Settled On Time,,,,N/A,0.0,,0.0
T102827,2026-08-17,2026-08-18,Equity,Harborview Asset Services,Buy,17575,32.12,564578.72,Settled On Time,,,,N/A,0.0,,0.0
T102828,2026-05-27,2026-05-29,Corporate Bond,Ironwood Clearing,Sell,1379158,102.18,140927475.83,Settled On Time,,,,N/A,0.0,,0.0
T102829,2026-06-02,2026-06-04,Corporate Bond,Everline Global Markets,Sell,782973,98.2,76884654.09,Failed,DK - Trade/Documentation Discrepancy,3.0,2026-06-07,Resolved,3.0,3-5 days,33957.39
T102830,2026-06-19,2026-06-22,Equity,Northbridge Prime Services,Sell,12225,14.78,180667.48,Settled On Time,,,,N/A,0.0,,0.0
T102831,2026-06-24,2026-06-25,ETF,Thornfield Global Clearing,Buy,8120,141.0,1144930.96,Settled On Time,,,,N/A,0.0,,0.0
T102832,2026-05-26,2026-05-27,ETF,Lindenmoor Securities,Buy,3746,16.86,63139.12,Settled On Time,,,,N/A,0.0,,0.0
T102833,2026-05-22,2026-05-26,Corporate Bond,Fenwick Custody Solutions,Buy,1570887,103.96,163314470.27,Settled On Time,,,,N/A,0.0,,0.0
T102834,2026-04-24,2026-04-28,Corporate Bond,Northbridge Prime Services,Sell,1502753,103.19,155067134.72,Settled On Time,,,,N/A,0.0,,0.0
T102835,2026-06-29,2026-07-01,Corporate Bond,Ironwood Clearing,Sell,1897012,103.78,196864129.06,Settled On Time,,,,N/A,0.0,,0.0
T102836,2026-06-26,2026-06-30,Corporate Bond,Sable Point Capital,Buy,1928474,102.4,197483526.03,Settled On Time,,,,N/A,0.0,,0.0
T102837,2026-05-15,2026-05-18,Equity,Fenwick Custody Solutions,Sell,3765,48.29,181793.09,Failed,Corporate Action Conflict,5.0,2026-05-23,Resolved,5.0,3-5 days,133.82
T102838,2026-07-03,2026-07-06,Equity,Kestrel Institutional Brokers,Sell,17660,95.78,1691521.49,Settled On Time,,,,N/A,0.0,,0.0
T102839,2026-03-23,2026-03-24,Equity,Journeyman Capital,Sell,5708,43.47,248131.61,Settled On Time,,,,N/A,0.0,,0.0
T102840,2026-05-12,2026-05-14,Corporate Bond,Ridgeline Brokerage,Sell,1511389,97.68,147634287.28,Settled On Time,,,,N/A,0.0,,0.0
T102841,2026-08-24,2026-08-25,Equity,Caldera Prime Brokerage,Sell,10007,42.63,426599.93,Settled On Time,,,,N/A,0.0,,0.0
T102842,2026-07-08,2026-07-09,Equity,Meridian Capital Partners,Sell,3226,131.5,424217.53,Settled On Time,,,,N/A,0.0,,0.0
T102843,2026-07-06,2026-07-07,Equity,Quorum Custody Bank,Buy,7858,111.89,879206.51,Settled On Time,,,,N/A,0.0,,0.0
T102844,2026-07-31,2026-08-03,Equity,Harborview Asset Services,Buy,12967,183.87,2384192.03,Settled On Time,,,,N/A,0.0,,0.0
T102845,2026-06-16,2026-06-17,ETF,Kestrel Institutional Brokers,Buy,1749,40.38,70625.54,Settled On Time,,,,N/A,0.0,,0.0
T102846,2026-06-25,2026-06-26,Equity,Fenwick Custody Solutions,Sell,17981,265.06,4766060.26,Settled On Time,,,,N/A,0.0,,0.0
T102847,2026-05-25,2026-05-26,Equity,Ironwood Clearing,Buy,8823,56.92,502202.27,Settled On Time,,,,N/A,0.0,,0.0
T102848,2026-07-24,2026-07-28,Corporate Bond,Thornfield Global Clearing,Buy,314777,99.66,31369841.6,Settled On Time,,,,N/A,0.0,,0.0
T102849,2026-07-03,2026-07-06,Equity,Harborview Asset Services,Buy,12396,24.29,301074.14,Settled On Time,,,,N/A,0.0,,0.0
T102850,2026-06-01,2026-06-02,Equity,Everline Global Markets,Buy,2142,37.91,81202.25,Settled On Time,,,,N/A,0.0,,0.0
T102851,2026-03-20,2026-03-23,Equity,Lindenmoor Securities,Sell,4851,81.54,395553.6,Settled On Time,,,,N/A,0.0,,0.0
T102852,2026-07-21,2026-07-23,Corporate Bond,Journeyman Capital,Sell,1640110,98.89,162191790.49,Settled On Time,,,,N/A,0.0,,0.0
T102853,2026-04-27,2026-04-28,Equity,Palisade Trading Group,Buy,11555,149.62,1728815.75,Settled On Time,,,,N/A,0.0,,0.0
T102854,2026-05-01,2026-05-05,Corporate Bond,Ashford Securities,Sell,96507,102.01,9845113.6,Settled On Time,,,,N/A,0.0,,0.0
T102855,2026-03-20,2026-03-23,Government Bond,Sable Point Capital,Buy,1446256,100.32,145092657.09,Settled On Time,,,,N/A,0.0,,0.0
T102856,2026-04-06,2026-04-08,Corporate Bond,Oakferry Markets,Buy,923825,99.47,91891220.93,Settled On Time,,,,N/A,0.0,,0.0
T102857,2026-03-20,2026-03-23,Equity,Quorum Custody Bank,Sell,927,26.2,24288.29,Settled On Time,,,,N/A,0.0,,0.0
T102858,2026-03-16,2026-03-18,Corporate Bond,Ironwood Clearing,Buy,1612147,98.77,159232195.24,Settled On Time,,,,N/A,0.0,,0.0
T102859,2026-03-02,2026-03-03,ETF,Ironwood Clearing,Sell,14928,37.29,556666.38,Settled On Time,,,,N/A,0.0,,0.0
T102860,2026-04-21,2026-04-22,Equity,Greystone Trading LLC,Sell,6845,65.28,446845.65,Settled On Time,,,,N/A,0.0,,0.0
T102861,2026-07-13,2026-07-14,ETF,Quorum Custody Bank,Sell,5010,84.62,423955.12,Settled On Time,,,,N/A,0.0,,0.0
T102862,2026-07-31,2026-08-03,Equity,Bellwether Capital Partners,Sell,1291,31.34,40464.05,Settled On Time,,,,N/A,0.0,,0.0
T102863,2026-04-08,2026-04-09,Equity,Kestrel Institutional Brokers,Sell,9861,49.27,485864.41,Settled On Time,,,,N/A,0.0,,0.0
T102864,2026-05-13,2026-05-14,Equity,Fenwick Custody Solutions,Buy,5330,48.76,259880.49,Settled On Time,,,,N/A,0.0,,0.0
T102865,2026-07-27,2026-07-28,Equity,Meridian Capital Partners,Sell,5301,71.3,377936.35,Settled On Time,,,,N/A,0.0,,0.0
T102866,2026-07-03,2026-07-06,Equity,Thornfield Global Clearing,Sell,9288,226.47,2103485.8,Settled On Time,,,,N/A,0.0,,0.0
T102867,2026-08-07,2026-08-10,ETF,Northbridge Prime Services,Sell,19694,151.72,2987925.52,Settled On Time,,,,N/A,0.0,,0.0
T102868,2026-05-13,2026-05-14,Government Bond,Ashford Securities,Buy,523520,99.77,52230895.81,Settled On Time,,,,N/A,0.0,,0.0
T102869,2026-03-27,2026-03-30,Equity,Harborview Asset Services,Sell,3306,76.14,251715.83,Settled On Time,,,,N/A,0.0,,0.0
T102870,2026-03-24,2026-03-26,Corporate Bond,Ashford Securities,Sell,1805660,104.47,188644679.1,Settled On Time,,,,N/A,0.0,,0.0
T102871,2026-07-03,2026-07-06,ETF,Journeyman Capital,Sell,17244,57.48,991128.57,Settled On Time,,,,N/A,0.0,,0.0
T102872,2026-03-03,2026-03-04,Equity,Dunmore & Co.,Buy,15211,40.41,614700.69,Settled On Time,,,,N/A,0.0,,0.0
T102873,2026-05-20,2026-05-21,Equity,Northbridge Prime Services,Sell,9071,36.0,326579.32,Settled On Time,,,,N/A,0.0,,0.0
T102874,2026-04-30,2026-05-01,Equity,Kestrel Institutional Brokers,Sell,18065,47.77,862975.84,Settled On Time,,,,N/A,0.0,,0.0
T102875,2026-08-11,2026-08-12,Equity,Greystone Trading LLC,Buy,4600,29.66,136438.45,Settled On Time,,,,N/A,0.0,,0.0
T102876,2026-08-25,2026-08-26,Equity,Ridgeline Brokerage,Sell,1338,60.2,80554.19,Settled On Time,,,,N/A,0.0,,0.0
T102877,2026-05-25,2026-05-26,Equity,Oakferry Markets,Sell,8159,10.1,82372.93,Settled On Time,,,,N/A,0.0,,0.0
T102878,2026-06-10,2026-06-11,ETF,Meridian Capital Partners,Sell,15432,44.5,686709.44,Settled On Time,,,,N/A,0.0,,0.0
T102879,2026-05-05,2026-05-06,Equity,Harborview Asset Services,Buy,2191,47.09,103184.89,Settled On Time,,,,N/A,0.0,,0.0
T102880,2026-07-16,2026-07-17,Equity,Fenwick Custody Solutions,Sell,7707,49.78,383647.04,Settled On Time,,,,N/A,0.0,,0.0
T102881,2026-04-20,2026-04-21,Equity,Lindenmoor Securities,Buy,15452,24.23,374384.32,Settled On Time,,,,N/A,0.0,,0.0
T102882,2026-07-10,2026-07-13,ETF,Palisade Trading Group,Buy,9682,74.57,721997.06,Settled On Time,,,,N/A,0.0,,0.0
T102883,2026-08-07,2026-08-10,Equity,Quorum Custody Bank,Sell,18814,41.78,786113.61,Settled On Time,,,,N/A,0.0,,0.0
T102884,2026-03-30,2026-03-31,ETF,Palisade Trading Group,Buy,7230,46.33,334991.5,Settled On Time,,,,N/A,0.0,,0.0
T102885,2026-04-08,2026-04-09,Equity,Ashford Securities,Buy,9212,119.57,1101521.67,Settled On Time,,,,N/A,0.0,,0.0
T102886,2026-05-05,2026-05-06,Equity,Thornfield Global Clearing,Sell,3818,125.77,480180.12,Settled On Time,,,,N/A,0.0,,0.0
T102887,2026-07-24,2026-07-27,Government Bond,Everline Global Markets,Sell,278716,103.27,28781791.52,Settled On Time,,,,N/A,0.0,,0.0
T102888,2026-06-22,2026-06-23,Equity,Ashford Securities,Sell,7811,37.59,293634.6,Settled On Time,,,,N/A,0.0,,0.0
T102889,2026-04-02,2026-04-03,Equity,Lindenmoor Securities,Sell,5800,78.76,456823.75,Settled On Time,,,,N/A,0.0,,0.0
T102890,2026-05-04,2026-05-05,Equity,Journeyman Capital,Buy,2498,19.13,47776.74,Settled On Time,,,,N/A,0.0,,0.0
T102891,2026-06-22,2026-06-23,Government Bond,Caldera Prime Brokerage,Buy,473068,100.09,47351009.37,Settled On Time,,,,N/A,0.0,,0.0
T102892,2026-08-19,2026-08-21,Corporate Bond,Everline Global Markets,Sell,1941118,98.52,191234543.81,Settled On Time,,,,N/A,0.0,,0.0
T102893,2026-05-19,2026-05-21,Corporate Bond,Everline Global Markets,Sell,262019,97.63,25580046.51,Settled On Time,,,,N/A,0.0,,0.0
T102894,2026-03-11,2026-03-12,Government Bond,Ironwood Clearing,Buy,1950412,101.91,198775140.01,Settled On Time,,,,N/A,0.0,,0.0
T102895,2026-03-17,2026-03-18,Equity,Oakferry Markets,Sell,15858,44.38,703707.68,Settled On Time,,,,N/A,0.0,,0.0
T102896,2026-03-03,2026-03-04,Government Bond,Northbridge Prime Services,Buy,1768315,95.53,168926080.16,Settled On Time,,,,N/A,0.0,,0.0
T102897,2026-03-20,2026-03-23,Equity,Ashford Securities,Sell,14651,64.17,940181.13,Settled On Time,,,,N/A,0.0,,0.0
T102898,2026-05-12,2026-05-14,Corporate Bond,Dunmore & Co.,Buy,1432231,98.29,140779939.58,Settled On Time,,,,N/A,0.0,,0.0
T102899,2026-04-17,2026-04-20,Equity,Meridian Capital Partners,Buy,5987,158.99,951880.83,Settled On Time,,,,N/A,0.0,,0.0
T102900,2026-04-21,2026-04-22,Equity,Quorum Custody Bank,Buy,9762,125.83,1228389.76,Settled On Time,,,,N/A,0.0,,0.0
T102901,2026-07-14,2026-07-15,Government Bond,Ashford Securities,Sell,271112,99.96,27099118.71,Settled On Time,,,,N/A,0.0,,0.0
T102902,2026-05-22,2026-05-25,Equity,Greystone Trading LLC,Sell,9657,63.2,610289.68,Settled On Time,,,,N/A,0.0,,0.0
T102903,2026-07-08,2026-07-09,Government Bond,Caldera Prime Brokerage,Buy,1612894,98.38,158680960.04,Settled On Time,,,,N/A,0.0,,0.0
T102904,2026-06-03,2026-06-04,Equity,Journeyman Capital,Sell,8671,28.84,250114.52,Settled On Time,,,,N/A,0.0,,0.0
T102905,2026-04-03,2026-04-07,Corporate Bond,Harborview Asset Services,Sell,174597,102.71,17933504.02,Settled On Time,,,,N/A,0.0,,0.0
T102906,2026-08-17,2026-08-18,Government Bond,Dunmore & Co.,Sell,742755,101.67,75517145.67,Settled On Time,,,,N/A,0.0,,0.0
T102907,2026-05-22,2026-05-25,Equity,Thornfield Global Clearing,Buy,15262,141.31,2156683.87,Settled On Time,,,,N/A,0.0,,0.0
T102908,2026-07-27,2026-07-28,Government Bond,Palisade Trading Group,Buy,424401,100.26,42551427.12,Settled On Time,,,,N/A,0.0,,0.0
T102909,2026-03-16,2026-03-17,ETF,Kestrel Institutional Brokers,Buy,17081,11.96,204237.1,Settled On Time,,,,N/A,0.0,,0.0
T102910,2026-07-29,2026-07-31,Corporate Bond,Palisade Trading Group,Buy,1112558,100.06,111326284.09,Settled On Time,,,,N/A,0.0,,0.0
T102911,2026-07-06,2026-07-07,Equity,Greystone Trading LLC,Buy,13994,43.03,602102.03,Settled On Time,,,,N/A,0.0,,0.0
T102912,2026-04-13,2026-04-14,ETF,Sable Point Capital,Sell,1052,78.41,82484.66,Settled On Time,,,,N/A,0.0,,0.0
T102913,2026-07-20,2026-07-22,Corporate Bond,Ironwood Clearing,Sell,705628,100.88,71180480.38,Settled On Time,,,,N/A,0.0,,0.0
T102914,2026-07-09,2026-07-10,ETF,Harborview Asset Services,Buy,18912,108.85,2058575.9,Settled On Time,,,,N/A,0.0,,0.0
T102915,2026-08-06,2026-08-07,Equity,Lindenmoor Securities,Sell,187,74.73,13975.36,Settled On Time,,,,N/A,0.0,,0.0
T102916,2026-04-06,2026-04-07,Equity,Lindenmoor Securities,Sell,4560,50.11,228503.92,Settled On Time,,,,N/A,0.0,,0.0
T102917,2026-08-05,2026-08-06,Government Bond,Meridian Capital Partners,Sell,557575,104.23,58113420.59,Settled On Time,,,,N/A,0.0,,0.0
T102918,2026-07-14,2026-07-15,Equity,Quorum Custody Bank,Sell,19135,220.21,4213667.19,Settled On Time,,,,N/A,0.0,,0.0
T102919,2026-04-28,2026-04-30,Corporate Bond,Fenwick Custody Solutions,Sell,474426,100.21,47541275.21,Settled On Time,,,,N/A,0.0,,0.0
T102920,2026-04-30,2026-05-01,Government Bond,Oakferry Markets,Sell,149687,96.7,14475398.7,Settled On Time,,,,N/A,0.0,,0.0
T102921,2026-04-13,2026-04-14,Equity,Dunmore & Co.,Buy,8332,35.62,296804.27,Settled On Time,,,,N/A,0.0,,0.0
T102922,2026-05-22,2026-05-25,Equity,Everline Global Markets,Sell,9310,103.69,965327.01,Settled On Time,,,,N/A,0.0,,0.0
T102923,2026-08-06,2026-08-10,Corporate Bond,Journeyman Capital,Sell,1499467,92.92,139332430.16,Settled On Time,,,,N/A,0.0,,0.0
T102924,2026-07-28,2026-07-29,Equity,Kestrel Institutional Brokers,Sell,15248,51.39,783651.98,Settled On Time,,,,N/A,0.0,,0.0
T102925,2026-03-24,2026-03-25,ETF,Meridian Capital Partners,Buy,16483,115.77,1908202.75,Settled On Time,,,,N/A,0.0,,0.0
T102926,2026-03-20,2026-03-24,Corporate Bond,Caldera Prime Brokerage,Sell,1917138,96.29,184608059.5,Settled On Time,,,,N/A,0.0,,0.0
T102927,2026-03-09,2026-03-10,ETF,Quorum Custody Bank,Sell,1432,24.31,34809.0,Settled On Time,,,,N/A,0.0,,0.0
T102928,2026-06-17,2026-06-18,Equity,Lindenmoor Securities,Sell,15213,81.32,1237097.91,Settled On Time,,,,N/A,0.0,,0.0
T102929,2026-04-23,2026-04-27,Corporate Bond,Lindenmoor Securities,Sell,700292,98.66,69093396.78,Settled On Time,,,,N/A,0.0,,0.0
T102930,2026-07-14,2026-07-15,ETF,Oakferry Markets,Sell,4466,83.51,372972.18,Settled On Time,,,,N/A,0.0,,0.0
T102931,2026-07-14,2026-07-15,Equity,Northbridge Prime Services,Buy,11355,169.7,1926897.99,Settled On Time,,,,N/A,0.0,,0.0
T102932,2026-04-02,2026-04-03,ETF,Ironwood Clearing,Buy,18870,159.64,3012454.83,Settled On Time,,,,N/A,0.0,,0.0
T102933,2026-07-01,2026-07-02,Government Bond,Journeyman Capital,Buy,418976,97.37,40794054.73,Settled On Time,,,,N/A,0.0,,0.0
T102934,2026-07-14,2026-07-16,Corporate Bond,Everline Global Markets,Buy,1447321,100.44,145375060.74,Settled On Time,,,,N/A,0.0,,0.0
T102935,2026-08-24,2026-08-25,ETF,Lindenmoor Securities,Sell,13291,321.0,4266371.94,Settled On Time,,,,N/A,0.0,,0.0
T102936,2026-07-07,2026-07-08,Equity,Everline Global Markets,Buy,18424,13.42,247263.17,Settled On Time,,,,N/A,0.0,,0.0
T102937,2026-05-01,2026-05-04,Equity,Meridian Capital Partners,Sell,11837,52.16,617363.24,Settled On Time,,,,N/A,0.0,,0.0
T102938,2026-08-25,2026-08-26,Equity,Ironwood Clearing,Sell,17548,29.2,512394.36,Settled On Time,,,,N/A,0.0,,0.0
T102939,2026-04-16,2026-04-17,Equity,Everline Global Markets,Sell,9148,74.59,682353.32,Settled On Time,,,,N/A,0.0,,0.0
T102940,2026-07-21,2026-07-22,Government Bond,Journeyman Capital,Sell,317653,100.52,31931644.86,Settled On Time,,,,N/A,0.0,,0.0
T102941,2026-05-05,2026-05-06,Equity,Sable Point Capital,Sell,4485,88.58,397291.38,Settled On Time,,,,N/A,0.0,,0.0
T102942,2026-08-13,2026-08-17,Corporate Bond,Lindenmoor Securities,Buy,1532520,96.55,147960335.21,Settled On Time,,,,N/A,0.0,,0.0
T102943,2026-07-16,2026-07-17,Equity,Greystone Trading LLC,Sell,2309,39.28,90693.04,Settled On Time,,,,N/A,0.0,,0.0
T102944,2026-06-15,2026-06-16,Equity,Journeyman Capital,Sell,11148,37.89,422345.57,Settled On Time,,,,N/A,0.0,,0.0
T102945,2026-04-06,2026-04-07,Equity,Meridian Capital Partners,Buy,17838,62.97,1123266.14,Settled On Time,,,,N/A,0.0,,0.0
T102946,2026-04-01,2026-04-02,Equity,Dunmore & Co.,Buy,8272,22.39,185236.46,Settled On Time,,,,N/A,0.0,,0.0
T102947,2026-08-17,2026-08-19,Corporate Bond,Lindenmoor Securities,Sell,1391274,96.45,134194744.89,Settled On Time,,,,N/A,0.0,,0.0
T102948,2026-07-21,2026-07-22,Government Bond,Ashford Securities,Sell,329890,99.11,32695627.1,Settled On Time,,,,N/A,0.0,,0.0
T102949,2026-05-29,2026-06-01,Government Bond,Ridgeline Brokerage,Sell,622041,96.67,60132294.79,Settled On Time,,,,N/A,0.0,,0.0
T102950,2026-08-04,2026-08-05,Equity,Meridian Capital Partners,Sell,14559,68.94,1003713.38,Settled On Time,,,,N/A,0.0,,0.0
T102951,2026-07-17,2026-07-21,Corporate Bond,Caldera Prime Brokerage,Buy,670726,98.56,66108836.73,Settled On Time,,,,N/A,0.0,,0.0
T102952,2026-05-07,2026-05-08,Equity,Journeyman Capital,Sell,10694,30.8,329404.29,Settled On Time,,,,N/A,0.0,,0.0
T102953,2026-07-24,2026-07-27,Government Bond,Ridgeline Brokerage,Sell,1813651,100.62,182489191.46,Settled On Time,,,,N/A,0.0,,0.0
T102954,2026-07-20,2026-07-21,ETF,Thornfield Global Clearing,Buy,7484,76.34,571360.32,Settled On Time,,,,N/A,0.0,,0.0
T102955,2026-05-22,2026-05-25,Equity,Caldera Prime Brokerage,Buy,16143,91.25,1472976.23,Settled On Time,,,,N/A,0.0,,0.0
T102956,2026-03-02,2026-03-03,Equity,Fenwick Custody Solutions,Sell,15614,21.7,338881.79,Settled On Time,,,,N/A,0.0,,0.0
T102957,2026-07-09,2026-07-10,Equity,Caldera Prime Brokerage,Sell,13979,36.7,513098.78,Settled On Time,,,,N/A,0.0,,0.0
